file, collected, visited, time
data/dev_set/002M , 1, 36, 0.101
data/dev_set/005 , 2, 3, 0.033
data/dev_set/006M , 1, 137, 0.167
data/dev_set/008 , 1, 4, 0.042
data/dev_set/010 , 1, 3, 0.041
data/dev_set/012 , 0, 13, 0.087
data/dev_set/013 , 177, 14835, 4.199
data/dev_set/014 , 44, 498, 0.289
data/dev_set/015 , 0, 16, 0.059
data/dev_set/016 , 0, 32, 0.062
data/dev_set/017 , 1, 2, 0.032
data/dev_set/018 , 1, 6, 0.069
data/dev_set/019M , 49, 71, 0.125
data/dev_set/020 , 1, 22, 0.074
data/dev_set/021 , 1, 374, 0.257
data/dev_set/022 , 0, 22, 0.086
data/dev_set/023 , 1, 7, 0.051
data/dev_set/024 , 1, 11, 0.056
data/dev_set/025 , 2, 13, 0.066
data/dev_set/026M , 2, 348, 0.237
data/dev_set/028 , 1, 105, 0.145
data/dev_set/029 , 2, 73, 0.11
data/dev_set/030 , 0, 26, 0.076
data/dev_set/031 , 0, 57, 0.106
data/dev_set/033 , 2, 28, 0.091
data/dev_set/034 , 2, 39, 0.08
data/dev_set/035 , 2, 55, 0.135
data/dev_set/036 , 0, 56, 0.101
data/dev_set/037 , 4, 52, 0.099
data/dev_set/038 , 4, 52, 0.103
data/dev_set/039A , 9, 150, 0.344
data/dev_set/040 , 1, 2, 0.033
data/dev_set/041 , 1, 20, 0.063
data/dev_set/042 , 4, 251, 0.174
data/dev_set/043M , 1, 13, 0.08
data/dev_set/045 , 1, 8843, 3.178
data/dev_set/046AM , 1, 81, 0.326
data/dev_set/047M , 6, 50, 0.12
data/dev_set/048 , 2, 4, 0.072
data/dev_set/050 , 0, 4, 0.05
data/dev_set/051 , 4, 6, 0.076
data/dev_set/052 , 2, 3, 0.083
data/dev_set/053AM , 1, 22, 0.101
data/dev_set/054 , 0, 26, 0.306
data/dev_set/055AM , 22, 71, 0.172
data/dev_set/056A , 40, 57, 0.112
data/dev_set/057 , 6, 19, 0.104
data/dev_set/058M , 1, 67, 0.203
data/dev_set/059M , 0, 7, 0.085
data/dev_set/060 , 2, 6, 0.094
data/dev_set/062 , 0, 4, 0.08
data/dev_set/063A , 1, 29, 0.15
data/dev_set/065M , 0, 22, 0.087
data/dev_set/066 , 1, 41, 0.103
data/dev_set/068 , 0, 4, 0.04
data/dev_set/modified_cases/003-2 , 1, 18, 0.064
data/dev_set/modified_cases/005-2 , 1, 1, 0.038
data/dev_set/modified_cases/006-2 , 2, 422, 0.491
data/dev_set/modified_cases/019-2 , 49, 71, 0.254
data/dev_set/modified_cases/026-2 , 1, 62, 0.141
data/dev_set/modified_cases/053-2 , 1, 11, 0.093
data/dev_set/modified_cases/054-2 , 0, 115, 0.219
data/dev_set/modified_cases/055-2 , 3, 3, 0.046
data/recent_posts/001 , 0, 6, 0.122
data/recent_posts/003 , 0, 4, 0.196
data/recent_posts/004A , 2, 12, 0.092
data/recent_posts/005M , 1, 3, 0.056
data/recent_posts/007 , 0, 103, 0.537
data/recent_posts/009 , 0, 255, 0.478
data/recent_posts/011 , 1, 33, 0.284
data/recent_posts/012 , 0, 215, 1.09
data/recent_posts/013 , 0, 3, 0.039
data/recent_posts/014 , 0, 3, 0.124
data/recent_posts/016M , 0, 20, 0.297
data/recent_posts/017A , 5, 73, 0.31
data/recent_posts/019 , 1, 2, 0.079
data/recent_posts/021M , 0, 22, 0.126
data/recent_posts/022M , 16, 50, 0.247
data/recent_posts/025A , 1, 8, 0.107
data/recent_posts/028 , 2, 22, 0.134
data/recent_posts/031 , 1, 6, 0.147
data/recent_posts/032M , 1, 73, 0.15
data/recent_posts/034 , 1, 6, 0.059
data/recent_posts/036 , 0, 6, 0.164
data/recent_posts/038 , 0, 2, 0.076
data/recent_posts/039A , 0, 71, 0.663
data/recent_posts/040 , 1, 14, 0.135
data/recent_posts/042 , 1, 2, 0.044
data/recent_posts/044M , 1, 5, 0.204
data/recent_posts/045 , 0, 14, 0.144
data/recent_posts/050 , 0, 5, 0.055
data/recent_posts/051 , 0, 13, 0.103
data/top_rated_posts/001 , 1, 10, 0.196
data/top_rated_posts/002 , 9, 67, 0.233
data/top_rated_posts/003 , 1, 3, 0.081
data/top_rated_posts/004 , 1, 15, 0.139
data/top_rated_posts/005 , 3, 77, 0.347
data/top_rated_posts/006 , 1, 5, 0.065
data/top_rated_posts/007M , 1, 71, 0.419
data/top_rated_posts/008 , 0, 86, 0.332
data/top_rated_posts/009 , 1, 5, 0.086
data/top_rated_posts/010M , 1, 2, 0.053
data/top_rated_posts/011 , 0, 13, 0.219
data/top_rated_posts/012 , 6, 243, 0.515
data/top_rated_posts/013 , 0, 11, 0.076
data/top_rated_posts/014 , 1, 10, 0.073
data/top_rated_posts/016 , 1, 10, 0.069
data/top_rated_posts/017 , 1, 10, 0.084
data/top_rated_posts/018M , 1, 15, 0.193
data/top_rated_posts/019 , 0, 11, 0.111
data/top_rated_posts/021M , 1, 40, 0.159
data/top_rated_posts/027 , 1, 5, 0.063
data/top_rated_posts/028 , -1, -1, -1
data/top_rated_posts/029 , 1, 18, 0.156
data/top_rated_posts/030M , 1, 15, 0.206
data/top_rated_posts/031 , 0, 4, 0.138
data/top_rated_posts/032 , 0, 3, 0.119
data/top_rated_posts/034 , 1, 14, 0.115
data/top_rated_posts/036 , 1, 8, 0.102
data/top_rated_posts/037 , 1, 5, 0.16
data/top_rated_posts/038 , 1, 67, 0.502
data/top_rated_posts/039 , 3, 8, 0.19
data/top_rated_posts/040 , 0, 74, 0.331
data/top_rated_posts/043M , 1, 11, 0.129
data/top_rated_posts/044 , 0, 3, 0.086
data/top_rated_posts/045 , 1456, 2246, 1.644
data/top_rated_posts/047 , 1, 95, 0.399
data/top_rated_posts/048 , 1, 5, 0.096
data/top_rated_posts/049 , 1, 10, 0.187
data/top_rated_posts/051 , 1, 14, 0.135
data/top_rated_posts/054 , 0, 17, 0.225
data/top_rated_posts/055 , 1, 100, 0.242
data/top_rated_posts/057 , 1, 18, 0.101
