file, collected, visited, time
data/dev_set/002M , 1, 36, 1.56
data/dev_set/005 , 3, 3, 0.283
data/dev_set/006M , 1, 137, 5.227
data/dev_set/008 , 1, 4, 0.224
data/dev_set/010 , 1, 3, 0.321
data/dev_set/012 , 0, 13, 0.565
data/dev_set/013 , -1, -1, -1
data/dev_set/014 , 345, 498, 17.235
data/dev_set/015 , 0, 16, 0.458
data/dev_set/016 , 7, 32, 1.101
data/dev_set/017 , 1, 2, 0.302
data/dev_set/018 , 1, 6, 0.629
data/dev_set/019M , 71, 71, 2.957
data/dev_set/020 , 7, 22, 0.935
data/dev_set/021 , 211, 374, 16.665
data/dev_set/022 , 0, 22, 1.009
data/dev_set/023 , 1, 7, 0.484
data/dev_set/024 , 3, 11, 0.732
data/dev_set/025 , 4, 13, 0.443
data/dev_set/026M , 13, 348, 7.275
data/dev_set/028 , 1, 105, 2.776
data/dev_set/029 , 10, 73, 1.688
data/dev_set/030 , 0, 26, 0.538
data/dev_set/031 , 0, 57, 1.731
data/dev_set/033 , 3, 28, 0.668
data/dev_set/034 , 5, 39, 0.749
data/dev_set/035 , 7, 55, 1.143
data/dev_set/036 , 0, 56, 1.056
data/dev_set/037 , 25, 52, 1.159
data/dev_set/038 , 25, 52, 1.442
data/dev_set/039A , 24, 150, 3.054
data/dev_set/040 , 2, 2, 0.202
data/dev_set/041 , 1, 20, 0.648
data/dev_set/042 , 13, 251, 5.829
data/dev_set/043M , 1, 13, 0.321
data/dev_set/045 , 1, 8843, 169.696
data/dev_set/046AM , 1, 81, 1.599
data/dev_set/047M , 15, 50, 0.995
data/dev_set/048 , 2, 4, 0.16
data/dev_set/050 , 0, 4, 0.175
data/dev_set/051 , 6, 6, 0.223
data/dev_set/052 , 3, 3, 0.146
data/dev_set/053AM , 7, 22, 0.493
data/dev_set/054 , 0, 26, 0.67
data/dev_set/055AM , 71, 71, 1.384
data/dev_set/056A , 57, 57, 1.201
data/dev_set/057 , 19, 19, 0.534
data/dev_set/058M , 1, 67, 1.583
data/dev_set/059M , 0, 7, 0.328
data/dev_set/060 , 2, 6, 0.312
data/dev_set/062 , 1, 4, 0.244
data/dev_set/063A , 1, 29, 0.921
data/dev_set/065M , 0, 22, 0.717
data/dev_set/066 , 1, 41, 1.215
data/dev_set/068 , 0, 4, 0.26
data/dev_set/modified_cases/003-2 , 1, 18, 0.728
data/dev_set/modified_cases/005-2 , 1, 1, 0.255
data/dev_set/modified_cases/006-2 , 4, 422, 11.376
data/dev_set/modified_cases/019-2 , 71, 71, 1.981
data/dev_set/modified_cases/026-2 , 1, 62, 1.438
data/dev_set/modified_cases/053-2 , 3, 11, 0.356
data/dev_set/modified_cases/054-2 , 0, 115, 2.737
data/dev_set/modified_cases/055-2 , 3, 3, 0.274
data/recent_posts/001 , 0, 6, 0.337
data/recent_posts/003 , 2, 4, 0.203
data/recent_posts/004A , 3, 12, 0.394
data/recent_posts/005M , 1, 3, 0.236
data/recent_posts/007 , 1, 103, 2.923
data/recent_posts/009 , 32, 255, 6.264
data/recent_posts/011 , 6, 33, 1.018
data/recent_posts/012 , 0, 215, 5.709
data/recent_posts/013 , 0, 3, 0.18
data/recent_posts/014 , 0, 3, 0.226
data/recent_posts/016M , 0, 20, 0.728
data/recent_posts/017A , 11, 73, 1.912
data/recent_posts/019 , 1, 2, 0.247
data/recent_posts/021M , 6, 22, 0.934
data/recent_posts/022M , 50, 50, 1.332
data/recent_posts/025A , 1, 8, 0.345
data/recent_posts/028 , 7, 22, 0.71
data/recent_posts/031 , 2, 6, 0.312
data/recent_posts/032M , 10, 73, 2.309
data/recent_posts/034 , 1, 6, 0.381
data/recent_posts/036 , 2, 6, 0.272
data/recent_posts/038 , 0, 2, 0.199
data/recent_posts/039A , 16, 71, 1.986
data/recent_posts/040 , 1, 14, 0.44
data/recent_posts/042 , 1, 2, 0.129
data/recent_posts/044M , 2, 5, 0.358
data/recent_posts/045 , 2, 14, 0.526
data/recent_posts/050 , 0, 5, 0.282
data/recent_posts/051 , 0, 13, 0.538
data/top_rated_posts/001 , 2, 10, 0.42
data/top_rated_posts/002 , 67, 67, 1.657
data/top_rated_posts/003 , 2, 3, 0.258
data/top_rated_posts/004 , 1, 15, 0.578
data/top_rated_posts/005 , 5, 77, 2.336
data/top_rated_posts/006 , 1, 5, 0.18
data/top_rated_posts/007M , 1, 71, 1.853
data/top_rated_posts/008 , 8, 86, 2.22
data/top_rated_posts/009 , 1, 5, 0.315
data/top_rated_posts/010M , 2, 2, 0.219
data/top_rated_posts/011 , 0, 13, 0.309
data/top_rated_posts/012 , 47, 243, 5.435
data/top_rated_posts/013 , 0, 11, 0.304
data/top_rated_posts/014 , 2, 10, 0.3
data/top_rated_posts/016 , 2, 10, 0.269
data/top_rated_posts/017 , 1, 10, 0.314
data/top_rated_posts/018M , 1, 15, 0.415
data/top_rated_posts/019 , 0, 11, 0.357
data/top_rated_posts/021M , 1, 40, 1.113
data/top_rated_posts/027 , 1, 5, 0.172
data/top_rated_posts/028 , 6, 36, 0.705
data/top_rated_posts/029 , 2, 18, 0.594
data/top_rated_posts/030M , 1, 15, 0.466
data/top_rated_posts/031 , 0, 4, 0.177
data/top_rated_posts/032 , 1, 3, 0.224
data/top_rated_posts/034 , 1, 14, 0.438
data/top_rated_posts/036 , 1, 8, 0.25
data/top_rated_posts/037 , 1, 5, 0.212
data/top_rated_posts/038 , 7, 67, 1.404
data/top_rated_posts/039 , 8, 8, 0.227
data/top_rated_posts/040 , 8, 74, 1.417
data/top_rated_posts/043M , 3, 11, 0.286
data/top_rated_posts/044 , 0, 3, 0.144
